Date,Price,Open,High,Low
"Jan 6, 08",1.4777,1.4747,1.4821,1.464
"Jan 13, 08",1.4611,1.4783,1.4924,1.4589
"Jan 20, 08",1.4672,1.4606,1.4781,1.4365
"Jan 27, 08",1.48,1.4682,1.4954,1.4661
"Feb 3, 08",1.451,1.4806,1.4851,1.444
"Feb 10, 08",1.468,1.4518,1.4711,1.4482
"Feb 17, 08",1.4832,1.4679,1.4864,1.4611
"Feb 24, 08",1.5181,1.4839,1.524,1.4779
"Mar 2, 08",1.5351,1.5196,1.5461,1.5147
"Mar 9, 08",1.5675,1.5364,1.569,1.5283
"Mar 16, 08",1.5432,1.5725,1.5906,1.5397
"Mar 23, 08",1.5802,1.5422,1.586,1.5342
"Mar 30, 08",1.5737,1.5811,1.5896,1.551
"Apr 6, 08",1.5807,1.5732,1.5914,1.5627
"Apr 13, 08",1.5815,1.5698,1.5985,1.5671
"Apr 20, 08",1.5625,1.5813,1.602,1.5555
"Apr 27, 08",1.5429,1.5617,1.5693,1.536
"May 4, 08",1.5483,1.5434,1.5595,1.5286
"May 11, 08",1.5577,1.5463,1.5602,1.5366
"May 18, 08",1.5766,1.5598,1.5816,1.5486
"May 25, 08",1.5554,1.5772,1.582,1.5462
"Jun 1, 08",1.5777,1.5558,1.5777,1.5364
"Jun 8, 08",1.538,1.5794,1.5846,1.5302
"Jun 15, 08",1.5605,1.541,1.5652,1.5345
"Jun 22, 08",1.5795,1.5629,1.5795,1.5467
"Jun 29, 08",1.5706,1.5777,1.5911,1.5653
"Jul 6, 08",1.5942,1.5697,1.5948,1.561
"Jul 13, 08",1.5848,1.5964,1.604,1.5784
"Jul 20, 08",1.571,1.5837,1.5945,1.5628
"Jul 27, 08",1.5566,1.5701,1.577,1.5513
"Aug 3, 08",1.5006,1.557,1.5631,1.4996
"Aug 10, 08",1.4689,1.4933,1.5084,1.4657
"Aug 17, 08",1.4793,1.4683,1.4909,1.463
"Aug 24, 08",1.4674,1.4788,1.4813,1.4569
"Aug 31, 08",1.4269,1.4702,1.4719,1.4197
"Sep 7, 08",1.4228,1.4385,1.443,1.388
"Sep 14, 08",1.4466,1.4315,1.4543,1.4079
"Sep 21, 08",1.4615,1.4491,1.4867,1.4438
"Sep 28, 08",1.3771,1.4522,1.4566,1.3704
"Oct 5, 08",1.3414,1.3665,1.3786,1.3259
"Oct 12, 08",1.3409,1.3559,1.3771,1.3346
"Oct 19, 08",1.2624,1.3403,1.3532,1.2498
"Oct 26, 08",1.2733,1.2551,1.3297,1.2331
"Nov 2, 08",1.2739,1.2751,1.3119,1.2528
"Nov 9, 08",1.2634,1.2821,1.293,1.239
"Nov 16, 08",1.2581,1.2535,1.2816,1.2425
"Nov 23, 08",1.2698,1.2592,1.3083,1.2567
"Nov 30, 08",1.2736,1.2712,1.2851,1.255
"Dec 7, 08",1.3373,1.2727,1.3417,1.2717
"Dec 14, 08",1.3919,1.337,1.4722,1.3367
"Dec 21, 08",1.4063,1.3934,1.4126,1.3901
"Dec 28, 08",1.3879,1.4062,1.4364,1.384
"Jan 4, 09",1.344,1.3904,1.3966,1.3311
"Jan 11, 09",1.3304,1.3474,1.3476,1.3026
"Jan 18, 09",1.2992,1.3328,1.3388,1.2766
"Jan 25, 09",1.2782,1.2971,1.3331,1.2778
"Feb 1, 09",1.2933,1.277,1.3072,1.2707
"Feb 8, 09",1.2862,1.2961,1.3095,1.2721
"Feb 15, 09",1.2843,1.279,1.2885,1.2514
"Feb 22, 09",1.2669,1.2796,1.2992,1.2603
"Mar 1, 09",1.2641,1.2626,1.2755,1.2456
"Mar 8, 09",1.2925,1.2669,1.2959,1.2554
"Mar 15, 09",1.3583,1.2886,1.374,1.2837
"Mar 22, 09",1.3301,1.3634,1.3738,1.3258
"Mar 29, 09",1.3483,1.3227,1.3519,1.3114
"Apr 5, 09",1.3188,1.3512,1.3584,1.3091
"Apr 12, 09",1.3041,1.319,1.3394,1.3019
"Apr 19, 09",1.3255,1.3048,1.3304,1.2886
"Apr 26, 09",1.3266,1.3243,1.3387,1.2965
"May 3, 09",1.3647,1.3285,1.3651,1.3209
"May 10, 09",1.3496,1.3649,1.3725,1.3464
"May 17, 09",1.3994,1.3487,1.4053,1.3423
"May 24, 09",1.4154,1.4035,1.4171,1.3793
"May 31, 09",1.3975,1.4125,1.434,1.3933
"Jun 7, 09",1.4024,1.3945,1.418,1.3806
"Jun 14, 09",1.3943,1.3989,1.4014,1.375
"Jun 21, 09",1.4053,1.3952,1.4141,1.3826
"Jun 28, 09",1.3964,1.4065,1.4204,1.393
"Jul 5, 09",1.3933,1.3958,1.4075,1.3833
"Jul 12, 09",1.4099,1.3948,1.4168,1.3898
"Jul 19, 09",1.4205,1.4117,1.4294,1.411
"Jul 26, 09",1.425,1.4228,1.4306,1.4008
"Aug 2, 09",1.4188,1.4269,1.4449,1.4155
"Aug 9, 09",1.4205,1.4176,1.433,1.4085
"Aug 16, 09",1.4323,1.4188,1.4378,1.4047
"Aug 23, 09",1.4299,1.4344,1.4407,1.4207
"Aug 30, 09",1.4293,1.4308,1.438,1.4178
"Sep 6, 09",1.457,1.4311,1.4637,1.4303
"Sep 13, 09",1.471,1.4598,1.4769,1.4517
"Sep 20, 09",1.4688,1.469,1.4844,1.4607
"Sep 27, 09",1.4572,1.47,1.4723,1.4482
"Oct 4, 09",1.473,1.4593,1.482,1.4582
"Oct 11, 09",1.4906,1.4725,1.497,1.4678
"Oct 18, 09",1.5003,1.4895,1.5063,1.483
"Oct 25, 09",1.4718,1.5001,1.5064,1.4684
"Nov 1, 09",1.4849,1.4714,1.4919,1.4625
"Nov 8, 09",1.4917,1.4887,1.5051,1.4822
